city,email,latitude,longitude,name,user_id,zipcode
Gwenborough,Sincere@april.biz,,,Leanne Graham,1,92998-3874
Wisokyburgh,Shanna@melissa.tv,,,Ervin Howell,2,90566-7771
McKenziehaven,Nathan@yesenia.net,,,Clementine Bauch,3,59590-4157
South Elvis,Julianne.OConner@kory.org,,,Patricia Lebsack,4,53919-4257
Roscoeview,Lucio_Hettinger@annie.ca,,,Chelsey Dietrich,5,33263
South Christy,Karley_Dach@jasper.info,,,Mrs. Dennis Schulist,6,23505-1337
Howemouth,Telly.Hoeger@billy.biz,,,Kurtis Weissnat,7,58804-1099
Aliyaview,Sherwood@rosamond.me,,,Nicholas Runolfsdottir V,8,45169
Bartholomebury,Chaim_McDermott@dana.io,,,Glenna Reichert,9,76495-3109
Lebsackbury,Rey.Padberg@karina.biz,,,Clementina DuBuque,10,31428-2261
